video_id,label,subgroup,corr_avg,transcript_words,words_per_min,speech_ratio,hallucination_flag,keypoint_count,avg_strength_score,max_strength_score,embodied_total,embodied_phrase_rate,visual_reference,action_narration,sensory_description,procedural_instruction,verbal_richness,parse_success
Gpm-TI21x9s,embodied,verbally_embodied,55.0,3108,183.4,0.9699,0,3,3.33,4,20,6.44,7,7,0,6,medium,1
GqCn94Ksdbo,embodied,verbally_embodied,55.0,1075,107.2,0.9967,0,2,4.5,5,20,18.6,9,6,0,5,medium,1
HWMq1WjvgfE,embodied,verbally_embodied,63.333333333333336,2649,141.0,0.6634,0,2,3.5,4,15,5.66,5,5,3,2,medium,1
K4aI2t5T00c,embodied,visually_embodied,7.142857142857143,111,14.4,0.9122,1,0,0.0,0,0,0.0,0,0,0,0,none,1
KDwqqlqdYFQ,embodied,verbally_embodied,,835,99.0,0.8695,0,2,3.0,3,6,7.19,2,4,0,0,low,1
LYJDlz5w77Y,embodied,verbally_embodied,9.285714285714286,2648,157.4,0.9868,0,3,3.67,4,29,10.95,3,16,0,10,medium,1
N5DbiWFjbh8,embodied,verbally_embodied,87.5,3205,190.7,0.9395,0,4,3.75,5,12,3.74,4,8,1,0,medium,1
NQvVeLHzfSs,embodied,verbally_embodied,84.33333333333333,253,117.9,0.9718,0,2,3.0,3,3,11.86,2,1,0,0,low,1
P4GsoMTv-SY,embodied,verbally_embodied,37.0,3031,157.9,0.9469,0,3,3.67,4,21,6.93,13,5,1,2,medium,1
PWyqVEkZGWk,embodied,verbally_embodied,51.0,2815,196.9,0.977,0,3,3.67,4,5,1.78,1,2,1,1,low,1
PfFkm0Kgkn0,embodied,visually_embodied,0.0,35,5.4,1.0,1,0,0.0,0,0,0.0,0,0,0,0,none,1
R2UqeJbK2yc,embodied,visually_embodied,5.0,39,5.5,1.0,1,0,0.0,0,0,0.0,0,0,0,0,none,1
S0j4xOuRzD4,embodied,verbally_embodied,,1687,159.5,0.9763,0,4,3.25,4,8,4.74,3,5,0,0,medium,1
U5cqrrhq9TA,embodied,verbally_embodied,75.0,1697,154.3,0.9629,0,3,3.67,5,16,9.43,12,4,0,2,medium,1
WoHjWZFTnpQ,embodied,verbally_embodied,63.333333333333336,2535,252.1,0.9259,0,4,3.5,4,34,13.41,1,27,0,6,medium,1
WpE4mQegNLgESP32,embodied,visually_embodied,53.75,0,0.0,,0,4,3.0,4,30,0.0,10,12,0,8,medium,1
YIAQ80evrFM,embodied,visually_embodied,,42,8.4,1.0,1,0,0.0,0,0,0.0,0,0,0,0,none,1
YQ8ZhHBraZg,embodied,verbally_embodied,40.0,649,218.8,0.9262,0,4,3.75,5,8,12.33,4,4,0,0,medium,1
YQeOmeMGpvE,embodied,verbally_embodied,64.16666666666667,2453,187.7,0.9924,0,3,4.0,5,6,2.45,1,3,1,1,medium,1
ZOuZWE_tfgQ,embodied,verbally_embodied,64.5,1642,105.7,0.9617,0,3,3.0,4,12,7.31,1,5,4,2,medium,1
_HHxV-7alwE,embodied,verbally_embodied,48.75,7665,190.2,0.9089,0,5,3.6,5,17,2.22,6,11,0,0,medium,1
a3wDEcORRR4,embodied,verbally_embodied,53.333333333333336,1512,214.5,0.9175,0,4,3.5,4,13,8.6,5,5,0,3,medium,1
cggDZE7gZNw,embodied,visually_embodied,2.5,75,8.0,1.0,1,0,0.0,0,0,0.0,0,0,0,0,none,1
dKB7uHYU-ow,embodied,visually_embodied,6.666666666666667,39,8.2,1.0,1,0,0.0,0,0,0.0,0,0,0,0,none,1
dV8rpGUoxns,embodied,verbally_embodied,81.66666666666667,3381,202.6,0.9817,0,2,4.5,5,8,2.37,3,4,1,0,medium,1
fcmXG3wB_1M,embodied,visually_embodied,6.666666666666667,214,25.0,0.8897,1,2,2.0,2,3,14.02,0,2,1,0,low,1
gdJHi9I0V4w,embodied,visually_embodied,10.0,108,11.3,0.9872,1,0,0.0,0,0,0.0,0,0,0,0,none,1
h50JwrVl2nQ,embodied,visually_embodied,6.666666666666667,72,11.4,1.0,1,0,0.0,0,0,0.0,0,0,0,0,none,1
hRnofMxEf3Q,embodied,verbally_embodied,49.166666666666664,4158,172.0,0.9736,0,3,4.0,5,20,4.81,10,6,0,4,medium,1
hnPi6i8Ua1M,embodied,verbally_embodied,41.666666666666664,912,175.0,0.8558,0,2,3.5,4,11,12.06,2,8,1,0,medium,1
jLXW6qVdfq4,embodied,visually_embodied,,53,13.3,1.0,1,0,0.0,0,0,0.0,0,0,0,0,none,1
lV6zevUF-v0,embodied,verbally_embodied,28.333333333333332,1180,96.3,0.8873,0,3,3.33,4,18,15.25,1,8,6,3,high,1
lWgYgef-hQ8,embodied,visually_embodied,5.0,48,5.6,0.9903,1,0,0.0,0,0,0.0,0,0,0,0,none,1
mcAMNsmT6uE,embodied,visually_embodied,0.0,627,58.3,0.9884,0,0,0.0,0,0,0.0,0,0,0,0,none,1
muGlauyfOGsT,embodied,visually_embodied,6.666666666666667,85,9.7,1.0,1,0,0.0,0,0,0.0,0,0,0,0,none,1
nxMkX0wtLm4,embodied,visually_embodied,0.0,34,6.1,0.9822,1,0,0.0,0,0,0.0,0,0,0,0,none,1
qNLvoSQCx60,embodied,verbally_embodied,54.285714285714285,1354,130.6,0.9974,0,2,4.0,5,6,4.43,1,4,1,0,low,1
r0kBl1__VEQ,embodied,verbally_embodied,50.0,3249,251.1,0.9205,0,2,4.0,4,11,3.39,5,5,0,1,medium,1
raTtiqWOFW8,embodied,visually_embodied,,46,5.4,1.0,1,0,0.0,0,0,0.0,0,0,0,0,none,1
re-dSV_a0tM,embodied,verbally_embodied,20.0,3600,154.8,0.9687,0,4,3.5,4,15,4.17,2,11,2,0,medium,1
rw3I118gQa8,embodied,visually_embodied,0.0,52,9.1,0.5758,1,0,0.0,0,0,0.0,0,0,0,0,none,1
s0dNRe0XWJ8,embodied,verbally_embodied,10.0,2947,199.5,0.8717,0,3,3.67,4,20,6.79,9,8,3,1,medium,1
sF0KOVWj9p8,embodied,verbally_embodied,37.142857142857146,1788,147.0,0.9989,0,3,4.0,5,16,8.95,5,10,0,1,medium,1
sHwSIcIdeDI,embodied,visually_embodied,20.0,60,16.3,0.4393,0,0,0.0,0,0,0.0,0,0,0,0,none,1
sI5Ftm1-jik,embodied,verbally_embodied,,829,220.6,0.8858,0,3,3.33,4,13,15.68,4,6,3,0,medium,1
t4LPzGIr41c,embodied,verbally_embodied,46.666666666666664,2456,230.7,0.9412,0,3,3.67,4,11,4.48,5,5,1,0,medium,1
u40kX1DYKdA,embodied,verbally_embodied,87.5,998,136.3,0.958,0,2,4.5,5,14,14.03,4,8,1,1,medium,1
w49SSxiPK_Q,embodied,visually_embodied,40.0,31,7.9,0.9965,1,0,0.0,0,0,0.0,0,0,0,0,none,1
wmTlM5s2xTY,embodied,verbally_embodied,17.142857142857142,2357,167.2,0.9492,0,5,3.0,3,32,13.58,10,11,0,11,medium,1
yPwYNUDkkZs,embodied,verbally_embodied,59.375,2566,138.6,0.9337,0,3,3.67,5,6,2.34,3,1,0,1,low,1
z58RORCUTao,embodied,verbally_embodied,32.857142857142854,1776,174.8,0.996,0,2,4.0,5,6,3.38,4,2,0,0,low,1
zZE4AejgDOA,embodied,visually_embodied,0.0,110,11.8,0.9597,1,0,0.0,0,0,0.0,0,0,0,0,none,1
